ts_ms,sta,request_id,status_code,latency_ms
1776976591662,sta3,1221,200,12.156
1776976591678,sta4,1310,200,7.621
1776976591691,sta2,1325,200,11.731
1776976591710,sta3,1222,200,12.255
1776976591720,sta4,1311,200,13.837
1776976591742,sta2,1326,200,11.462
1776976591755,sta3,1223,200,11.974
1776976591770,sta4,1312,200,8.984
1776976591789,sta2,1327,200,13.103
1776976591801,sta3,1224,200,10.067
1776976591819,sta4,1313,200,10.833
1776976591835,sta2,1328,200,10.274999999999999
1776976591851,sta3,1225,200,7.904
1776976591862,sta4,1314,200,10.831999999999999
1776976591877,sta2,1329,200,10.595
1776976591891,sta3,1226,200,8.516
1776976591911,sta4,1315,200,12.759
1776976591926,sta2,1330,200,9.941
1776976591933,sta3,1227,200,16.095000000000002
1776976591957,sta4,1316,200,15.495999999999999
1776976591970,sta2,1331,200,14.309000000000001
1776976591983,sta3,1228,200,9.065999999999999
1776976592010,sta4,1317,200,8.934
1776976592020,sta2,1332,200,12.45
1776976592032,sta3,1229,200,9.349
1776976592051,sta4,1318,200,11.736999999999998
1776976592067,sta2,1333,200,13.442
1776976592083,sta3,1230,200,14.576
1776976592098,sta4,1319,200,13.906
1776976592122,sta2,1334,200,15.019
1776976592138,sta3,1231,200,14.211
1776976592145,sta4,1320,200,9.027999999999999
1776976592170,sta2,1335,200,11.394
1776976592187,sta3,1232,200,11.412
1776976592198,sta4,1321,200,11.518
1776976592222,sta2,1336,200,10.009
1776976592238,sta3,1233,200,12.096
1776976592250,sta4,1322,200,12.213999999999999
1776976592265,sta2,1337,200,14.233
1776976592284,sta3,1234,200,11.322000000000001
1776976592298,sta4,1323,200,10.094000000000001
1776976592312,sta2,1338,200,12.338999999999999
1776976592329,sta3,1235,200,12.067
1776976592342,sta4,1324,200,9.742
1776976592361,sta2,1339,200,11.382
1776976592374,sta3,1236,200,12.915
1776976592386,sta4,1325,200,12.456999999999999
1776976592413,sta2,1340,200,12.437999999999999
1776976592427,sta3,1237,200,11.141
1776976592434,sta4,1326,200,12.881
1776976592458,sta2,1341,200,13.557
1776976592471,sta3,1238,200,11.416
1776976592480,sta4,1327,200,12.809
1776976592510,sta2,1342,200,12.984
1776976592515,sta3,1239,200,13.521
1776976592527,sta4,1328,200,13.516
1776976592557,sta2,1343,200,10.437
1776976592561,sta3,1240,200,11.169
1776976592580,sta4,1329,200,9.424999999999999
1776976592603,sta2,1344,200,12.486
1776976592607,sta3,1241,200,14.544
1776976592628,sta4,1330,200,10.844
1776976592657,sta2,1345,200,12.66
1776976592660,sta3,1242,200,15.07
1776976592679,sta4,1331,200,10.971
1776976592705,sta2,1346,200,12.64
1776976592710,sta3,1243,200,14.104999999999999
1776976592732,sta4,1332,200,11.007
1776976592755,sta2,1347,200,13.899999999999999
1776976592768,sta3,1244,200,18.331
1776976592782,sta4,1333,200,10.014000000000001
1776976592806,sta2,1348,200,16.428
1776976592822,sta3,1245,200,15.064
1776976592833,sta4,1334,200,11.626
1776976592863,sta2,1349,200,17.046
1776976592871,sta3,1246,200,20.794
1776976592879,sta4,1335,200,14.609
1776976592919,sta2,1350,200,17.386
1776976592937,sta4,1336,200,15.053
1776976592926,sta3,1247,200,20.78
1776976592970,sta2,1351,200,17.183
1776976592987,sta3,1248,200,14.288
1776976592986,sta4,1337,200,15.435
1776976593022,sta2,1352,200,13.665999999999999
1776976593041,sta3,1249,200,11.793
1776976593041,sta4,1338,200,13.367
1776976593075,sta2,1353,200,13.92
1776976593089,sta3,1250,200,13.65
1776976593095,sta4,1339,200,15.758999999999999
1776976593124,sta2,1354,200,10.0
1776976593139,sta3,1251,200,11.132
1776976593147,sta4,1340,200,13.808000000000002
1776976593169,sta2,1355,200,10.691
1776976593184,sta3,1252,200,14.308
1776976593196,sta4,1341,200,17.503
1776976593220,sta2,1356,200,9.553
1776976593241,sta3,1253,200,11.732
1776976593254,sta4,1342,200,13.42
1776976593262,sta2,1357,200,16.924000000000003
1776976593300,sta4,1343,200,13.350000000000001
1776976593293,sta3,1254,200,15.344999999999999
1776976593321,sta2,1358,200,10.423
1776976587034,sta1,412,0,3096.163
1776976593348,sta3,1255,200,15.685999999999998
1776976593347,sta4,1344,200,27.723000000000003
1776976593369,sta2,1359,200,13.854999999999999
1776976593399,sta3,1256,200,11.159
1776976593411,sta4,1345,200,13.535
1776976593425,sta2,1360,200,12.965000000000002
1776976593448,sta3,1257,200,10.956000000000001
1776976593457,sta4,1346,200,15.169
1776976593472,sta2,1361,200,11.738
1776976593498,sta3,1258,200,10.754
1776976593511,sta4,1347,200,14.567
1776976593523,sta2,1362,200,12.024
1776976593541,sta3,1259,200,11.801
1776976593559,sta4,1348,200,8.426
1776976593576,sta2,1363,200,10.902999999999999
1776976593592,sta3,1260,200,13.195
1776976593607,sta4,1349,200,11.747
1776976593621,sta2,1364,200,10.163
1776976593640,sta3,1261,200,14.029
1776976593663,sta2,1365,200,20.364
1776976593657,sta4,1350,200,23.3
1776976593687,sta3,1262,200,9.065999999999999
1776976593719,sta2,1366,200,13.559
1776976593730,sta3,1263,200,10.038
1776976593720,sta4,1351,200,15.284
1776976593774,sta4,1352,200,10.555
1776976593765,sta2,1367,200,15.147
1776976593773,sta3,1264,200,13.131
1776976593825,sta3,1265,200,12.567
1776976593818,sta4,1353,200,13.734
1776976593819,sta2,1368,200,14.132
